Vuosi,Kk,Kuukauden sadesumma (mm),Kuukauden keskilämpötila (degC),val
2011,1,72.2,-4.6,643.0
2011,2,31.9,-10.1,1256.0
2011,3,19.9,-1.1,751.0
2011,4,30.6,6.0,105.0
2011,5,27.7,10.4,9.0
2011,6,53.3,17.1,1.0
2011,7,60.4,20.9,3.0
2011,8,169.6,17.4,
2011,9,96.5,13.4,3.0
2011,10,77.7,8.2,1.0
2011,11,26.9,5.0,6.0
2011,12,154.4,2.9,30.0
2012,1,104.5,-3.9,399.0
2012,2,84.6,-7.2,2011.0
2012,3,39.8,0.7,611.0
2012,4,59.4,4.2,117.0
2012,5,60.7,11.2,37.0
2012,6,92.1,13.9,3.0
2012,7,62.6,17.9,6.0
2012,8,45.6,15.9,
2012,9,177,12.2,1.0
2012,10,92,6.3,3.0
2012,11,73.8,3.7,34.0
2012,12,95.4,-5.8,124.0
2013,1,42.3,-5.2,721.0
2013,2,44.8,-2.0,1501.0
2013,3,15.8,-5.3,1052.0
2013,4,37.6,3.2,334.0
2013,5,27.8,13.1,46.0
2013,6,44.5,17.8,3.0
2013,7,32.1,18.3,1.0
2013,8,125.3,17.5,
2013,9,16.8,12.4,2.0
2013,10,77.3,7.1,7.0
2013,11,96.9,4.2,34.0
2013,12,59.7,1.9,209.0
2014,1,49.9,-6.4,385.0
2014,2,29.4,-0.1,1297.0
2014,3,32.2,2.0,526.0
2014,4,9.9,6.0,185.0
2014,5,59.1,10.8,132.0
2014,6,76.4,13.5,6.0
2014,7,10.6,20.4,4.0
2014,8,134.6,17.9,
2014,9,55,12.8,
2014,10,39.6,6.3,7.0
2014,11,49.8,2.8,47.0
2014,12,87.6,-0.5,753.0
2015,1,73.3,-1.3,1120.0
2015,2,41.9,0.5,1588.0
2015,3,55.4,2.2,1296.0
2015,4,52.8,5.3,691.0
2015,5,34.8,9.5,193.0
2015,6,75.9,13.4,28.0
2015,7,69.4,16.3,3.0
2015,8,44.4,17.4,4.0
2015,9,61.8,13.3,5.0
2015,10,17.3,6.2,8.0
2015,11,72.6,5.2,58.0
2015,12,65,2.8,482.0
2016,1,58,-9.3,2183.0
2016,2,90.8,0.0,2021.0
2016,3,13.3,0.6,973.0
2016,4,70.8,4.9,585.0
2016,5,7.3,14.2,115.0
2016,6,143.8,15.4,3.0
2016,7,59.3,17.8,2.0
2016,8,59.1,16.2,1.0
2016,9,51,13.0,3.0
2016,10,21.5,5.2,27.0
2016,11,69.7,-0.4,522.0
2016,12,23.6,-0.3,4061.0
2017,1,38.9,-2.3,1326.0
2017,2,35,-2.4,426.0
2017,3,41.7,1.0,235.0
2017,4,39.9,2.7,114.0
2017,5,16.1,9.8,111.0
2017,6,76.3,13.7,12.0
2017,7,31.2,16.0,5.0
2017,8,86.1,16.2,4.0
2017,9,65.2,11.8,57.0
2017,10,182.3,5.5,25.0
2017,11,120.2,3.7,123.0
2017,12,139.5,1.4,1035.0
2018,1,57.8,-1.5,1926.0
2018,2,39.5,-7.3,3738.0
2018,3,25.7,-3.7,3942.0
2018,4,39.5,5.1,946.0
2018,5,7.8,15.0,95.0
2018,6,36.8,15.6,2.0
2018,7,36.9,21.3,1.0
2018,8,62.3,18.6,
2018,9,68.4,13.6,1.0
2018,10,46.3,7.3,2.0
2018,11,27.2,3.3,32.0
2018,12,58.3,-1.2,381.0
2019,1,77.8,-5.1,1224.0
2019,2,61.6,0.0,2603.0
2019,3,54.6,0.1,1654.0
2019,4,6.4,6.8,686.0
2019,5,65.3,10.5,181.0
2019,6,19.8,17.6,18.0
2019,7,63.3,17.6,3.0
2019,8,70.5,17.2,4.0
2019,9,69.2,11.8,2.0
2019,10,101.6,5.7,12.0
2019,11,91.6,2.5,60.0
2019,12,92.6,2.0,559.0
2020,1,66.5,2.5,1222.0
2020,2,108.4,0.9,1712.0
2020,3,64.1,2.1,636.0
2020,4,44,5.0,4.0
2020,5,50.3,9.6,1.0
2020,6,78.2,18.1,
2020,7,98.8,16.7,1.0
2020,8,75.8,17.0,
2020,9,67.9,13.4,
2020,10,66.7,8.9,1.0
2020,11,77.9,5.0,1.0
2020,12,64,1.5,4.0
2021,1,93.8,-3.9,1.0
2021,2,27.1,-7.0,1.0
2021,3,41.5,-0.3,
2021,4,30.8,5.0,3.0
2021,5,86.5,10.5,
2021,6,38.7,19.7,
2021,7,47.3,21.6,1.0
2021,8,132.4,15.9,
2021,9,42.8,10.1,
2021,10,84.1,8.3,3.0
2021,11,50.2,2.2,16.0
2021,12,33.7,-5.9,214.0
2022,1,102.3,-2.6,44.0
2022,2,127.5,-1.4,9.0
2022,3,14.9,0.8,30.0
2022,4,34.7,4.1,295.0
2022,5,50.7,9.8,823.0
2022,6,39.7,17.2,126.0
2022,7,48.5,18.6,24.0
2022,8,45.6,19.4,16.0
2022,9,64.3,10.3,34.0
2022,10,47.9,8.3,37.0
2022,11,55.9,2.9,121.0
2022,12,93.4,-2.1,2030.0
